"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.50.20","192.168.50.10","TCP","74","39731  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=493588 TSecr=0 WS=64"
"2","0.000030185","192.168.50.10","192.168.50.20","TCP","74","4444  >  39731 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1280096145 TSecr=493588 WS=256"
"3","0.000308935","192.168.50.20","192.168.50.10","TCP","66","39731  >  4444 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=493588 TSecr=1280096145"
"4","0.000734469","192.168.50.20","192.168.50.10","TCP","73","39731  >  4444 [PSH, ACK] Seq=1 Ack=1 Win=5888 Len=7 TSval=493588 TSecr=1280096145"
"5","0.000745903","192.168.50.10","192.168.50.20","TCP","66","4444  >  39731 [ACK] Seq=1 Ack=8 Win=65280 Len=0 TSval=1280096146 TSecr=493588"
"6","3.992213205","192.168.50.20","192.168.50.10","TCP","66","39731  >  4444 [FIN, ACK] Seq=8 Ack=1 Win=5888 Len=0 TSval=493988 TSecr=1280096146"
"7","3.992308507","192.168.50.10","192.168.50.20","TCP","66","4444  >  39731 [FIN, ACK] Seq=1 Ack=9 Win=65280 Len=0 TSval=1280100137 TSecr=493988"
"8","3.992735271","192.168.50.20","192.168.50.10","TCP","66","39731  >  4444 [ACK] Seq=9 Ack=2 Win=5888 Len=0 TSval=493988 TSecr=1280100137"
"11","33.993771050","192.168.50.20","192.168.50.10","TCP","74","39732  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=496988 TSecr=0 WS=64"
"12","33.993801106","192.168.50.10","192.168.50.20","TCP","74","4444  >  39732 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1280130139 TSecr=496988 WS=256"
"13","33.994060457","192.168.50.20","192.168.50.10","TCP","66","39732  >  4444 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=496988 TSecr=1280130139"
"14","33.994504435","192.168.50.20","192.168.50.10","TCP","73","39732  >  4444 [PSH, ACK] Seq=1 Ack=1 Win=5888 Len=7 TSval=496988 TSecr=1280130139"
"15","33.994516536","192.168.50.10","192.168.50.20","TCP","66","4444  >  39732 [ACK] Seq=1 Ack=8 Win=65280 Len=0 TSval=1280130140 TSecr=496988"
"16","37.989073386","192.168.50.20","192.168.50.10","TCP","66","39732  >  4444 [FIN, ACK] Seq=8 Ack=1 Win=5888 Len=0 TSval=497388 TSecr=1280130140"
"17","37.989156664","192.168.50.10","192.168.50.20","TCP","66","4444  >  39732 [FIN, ACK] Seq=1 Ack=9 Win=65280 Len=0 TSval=1280134134 TSecr=497388"
"18","37.989477038","192.168.50.20","192.168.50.10","TCP","66","39732  >  4444 [ACK] Seq=9 Ack=2 Win=5888 Len=0 TSval=497388 TSecr=1280134134"
"19","67.991010339","192.168.50.20","192.168.50.10","TCP","74","39733  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=500388 TSecr=0 WS=64"
"20","67.991047554","192.168.50.10","192.168.50.20","TCP","54","4444  >  39733 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","97.994290323","192.168.50.20","192.168.50.10","TCP","74","39734  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=503388 TSecr=0 WS=64"
"22","97.994315723","192.168.50.10","192.168.50.20","TCP","54","4444  >  39734 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"27","127.997234937","192.168.50.20","192.168.50.10","TCP","74","39735  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=506389 TSecr=0 WS=64"
"28","127.997274040","192.168.50.10","192.168.50.20","TCP","54","4444  >  39735 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","157.998290440","192.168.50.20","192.168.50.10","TCP","74","39736  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=509389 TSecr=0 WS=64"
"30","157.998314330","192.168.50.10","192.168.50.20","TCP","54","4444  >  39736 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"37","187.999738435","192.168.50.20","192.168.50.10","TCP","74","48178  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=512390 TSecr=0 WS=64"
"38","187.999763427","192.168.50.10","192.168.50.20","TCP","54","4444  >  48178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"41","218.000528321","192.168.50.20","192.168.50.10","TCP","74","48179  >  4444 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=515390 TSecr=0 WS=64"
"42","218.000548472","192.168.50.10","192.168.50.20","TCP","54","4444  >  48179 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
